-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
-3.5,-2.0,free,free,free,free,robot,free,free,free,free,7.5,5.41,0
